id,title,price,location,latitude,longitude,type,size,no_of_bedrooms,no_of_bathrooms,completion_status,amenities
7091752,2BR High Floor with Burj Al Arab view in MJL,2090000,"Dubai, Umm Suqeim, Madinat Jumeirah Living",25.137409,55.188957,Apartment,"1,365 sqft
                      /            127 sqm",2,3,Off-plan,"Unfurnished, Balcony, Built in Wardrobes, Covered Parking, "
7091934,Luxurious 2 Bed Apt | Excellent Location,1425000,"Dubai, Meydan, Meydan Avenue",25.145181,55.288017,Apartment,"1,535 sqft
                      /            143 sqm",2,3,Ready,"Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Shared Gym, "
7092201,Huge Terrace Balcony | Full Marina Views,1595000,"Dubai, Dubai Marina",25.070605,55.13323,Apartment,"1,350 sqft
                      /            125 sqm",2,2,Ready,
7093948,Brand New | 1 BR Apt. w/Balcony | Best Location,975000,"Dubai, Dubai Marina, Marina Gate",25.086376,55.14736,Apartment,"627 sqft
                      /            58 sqm",1,1,,"Unfurnished, Balcony, Built in Wardrobes, Central A/C, Concierge, Covered Parking, Security, Shared Gym, Shared Pool, "
7098857,Full Sea View | A2B Type | Beach Access,3400000,"Dubai, Jumeirah Beach Residence, The Walk",25.072954,55.128089,Apartment,"1,672 sqft
                      /            155 sqm",2,3,Ready,"Unfurnished, Balcony, Built in Wardrobes, Central A/C, Concierge, Covered Parking, Kitchen Appliances, Security, Shared Gym, Shared Pool, View of Landmark, View of Water, "
7110423,Spacious 3BR + Maid | Rented at a good price| Lake View,2050000,"Dubai, Business Bay, Executive Towers",25.189124,55.26418,Apartment,"2,197 sqft
                      /            204 sqm",3 + Maid,4,Ready,"Unfurnished, Built in Wardrobes, Children's Play Area, Maids Room, Shared Pool, View of Water, "
7110490,Park View | Balcony | Spacious 2 Bedroom,995000,"Dubai, Motor City, Shakespeare Circus",25.046147,55.249375,Apartment,"1,670 sqft
                      /            155 sqm",2,1,Ready,
7114232,Ready To Move In | Vacant | Delightful Park Views,1300000,"Dubai, Dubai Hills Estate, Park Heights",25.109367,55.24798,Apartment,"1,182 sqft
                      /            110 sqm",2,3,Ready,"Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Pets Allowed, Security, Shared Gym, Shared Pool, "
7132234,Upgraded and Bright 2BR with Garden View,1100000,"Dubai, Motor City, Shakespeare Circus",25.046147,55.249375,Apartment,"1,670 sqft
                      /            155 sqm",2,3,Ready,"Unfurnished, Balcony, Built in Wardrobes, Covered Parking, Kitchen Appliances, Pets Allowed, Shared Gym, Shared Pool, "
7133614,1 Bedroom | Golf Course Views | Vacant,750000,"Dubai, DAMAC Hills (Akoya by DAMAC), NAIA Golf Terrace at Akoya",25.019361,55.252762,Apartment,"851 sqft
                      /            79 sqm",1,2,Ready,
7134664,Ritz Carlton Facing | Tenanted | High Floor,1999999,"Dubai, DIFC",25.212018,55.278772,Apartment,"1,755 sqft
                      /            163 sqm",2,2,Ready,"Unfurnished, Built in Wardrobes, Covered Parking, Kitchen Appliances, Pets Allowed, Shared Gym, Shared Pool, "
7135639,Reduced price| Burj view| Ready for handover,2990000,"Dubai, Downtown Dubai",25.19331,55.280919,Apartment,"1,903 sqft
                      /            177 sqm",3,4,Off-plan,"Unfurnished, Concierge, "
7158173,"Internal View | Low Floor | Furniture Included, PJ",2400000,"Dubai, Palm Jumeirah, The Fairmont Palm Residences",25.108728,55.142382,Apartment,"1,717 sqft
                      /            160 sqm",2 + Maid,3,Ready,"Furnished, Balcony, Barbecue Area, Built in Wardrobes, Central A/C, Children's Play Area, Concierge, Covered Parking, Kitchen Appliances, Maids Room, Shared Gym, Shared Pool, View of Water, "
7158404,Stunning | Burj Khalifa and Fountain Views,2600000,"Dubai, Downtown Dubai, The Address Residence Fountain Views",25.194935,55.282665,Apartment,"1,360 sqft
                      /            126 sqm",2,3,Ready,
7169343,Vacant Soon | Lovely 2 Bed with Sea View,2000000,"Dubai, Dubai Marina",25.083121,55.141064,Apartment,"1,477 sqft
                      /            137 sqm",2,3,Ready,"Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Shared Pool, View of Water, "
7176333,Full Burj Khalifa View | Immaculate | 2 Bed,1800000,"Dubai, Downtown Dubai, South Ridge",25.186457,55.277512,Apartment,"1,622 sqft
                      /            151 sqm",2,3,Ready,
7184800,1 Bed | Lake View | Near Metro,930000,"Dubai, Downtown Dubai, The Lofts",25.196593,55.269631,Apartment,"774 sqft
                      /            72 sqm",1,2,Ready,
7186566,Luxurious 2 BR Beachfront Apt | Burj Al Arab View,3200000,"Dubai, Palm Jumeirah, Serenia Residences The Palm",25.132445,55.152216,Apartment,"1,572 sqft
                      /            146 sqm",2,3,,"Unfurnished, Balcony, Built in Wardrobes, Central A/C, Security, Shared Gym, Shared Pool, View of Water, Walk-in Closet, "
7187135,High Floor | Swimming Pool View| Great Deal,714000,"Dubai, Jumeirah Village Circle",25.066791,55.203684,Apartment,"732 sqft
                      /            68 sqm",1,1,Off-plan,"Unfurnished, Balcony, Barbecue Area, Built in Wardrobes, Central A/C, Children's Play Area, Children's Pool, Covered Parking, Kitchen Appliances, Lobby in Building, Networked, Pets Allowed, Private Garden, Security, Shared Gym, Shared Pool, Shared Spa, Study, View of Landmark, View of Water, "
7187416,Brand New Flat | Marina View | 3 Bedroom,1075000,"Dubai, Dubai Marina, Marina Wharf",25.072396,55.132386,Apartment,"1,300 sqft
                      /            121 sqm",3,3,Ready,"Unfurnished, Balcony, Built in Wardrobes, Central A/C, Covered Parking, Kitchen Appliances, Security, Shared Gym, Shared Pool, Shared Spa, View of Landmark, View of Water, Walk-in Closet, "
7190229,Furnished 1BR|High Floor|Fountain View|Rare Layout,2299900,"Dubai, Downtown Dubai, Burj Khalifa Area",25.197316,55.274196,Apartment,"1,133 sqft
                      /            105 sqm",1,2,Ready,"Furnished, Built in Wardrobes, Central A/C, Children's Play Area, Concierge, Covered Parking, Kitchen Appliances, Private Jacuzzi, Shared Gym, Shared Pool, View of Water, "
7195467,High floor beautifull 2  bed full sea view,1200000,"Dubai, Dubai Marina",25.088431,55.146759,Apartment,"1,180 sqft
                      /            110 sqm",2,2,,"Unfurnished, Balcony, Built in Wardrobes, Central A/C, Concierge, Covered Parking, Security, Shared Gym, Shared Pool, Shared Spa, View of Landmark, View of Water, Walk-in Closet, "
7196848,Marina Views | 2 Bedroom + Study | Vacant,1525000,"Dubai, Dubai Marina",25.08377,55.145075,Apartment,"1,440 sqft
                      /            134 sqm",2,3,Ready,
